ensembl_gene_ids,baseMean,log2FoldChange,lfcSE,pvalue,padj,mgi_symbols,gene_symbols,ENTREZ_IDs
ENSMUSG00000090086,400.3442652083806,-0.40665896460505996,0.13517168780537417,0.0019417519712010113,0.00651624469002891,NA,NA,NA
ENSMUSG00000038384,3514.6796962341105,-0.25432024377285933,0.06640128833548047,1.1398388191593259e-4,4.931235340379621e-4,MGI:MGI:2652820,Setd1b,208043
ENSMUSG00000029445,0.15939538574174897,0.023752489455263596,0.6012451354268766,0.8031983443926559,NA,MGI:MGI:96213,Hpd,15445
ENSMUSG00000029440,579.2493650308782,0.3377743711274044,0.1161078217279371,0.0029632869814967605,0.009530985574946417,MGI:MGI:1914401,Psmd9,67151
ENSMUSG00000029442,26.186913512042764,-0.9476700307683803,0.5421721496787129,0.01463332029811585,0.03903112891582434,MGI:MGI:1918495,Wdr66,269701
ENSMUSG00000094664,1.5362348582100753,-0.018867130650676252,0.5827282451190794,0.897396795610134,0.9452743965012838,NA,NA,NA
ENSMUSG00000087336,2.000994116533853,-0.11737369400075494,0.5911554823938759,0.4570968221165655,0.6306631300488107,NA,NA,NA
ENSMUSG00000029438,518.7617907136477,-0.49280978217382687,0.11599309354277937,1.4270196933394822e-5,7.128665016403404e-5,MGI:MGI:1924295,Bcl7a,77045
ENSMUSG00000065191,5.2895459218039695,-0.15561078561974706,0.549768216095406,0.5389331154982304,0.7031234972895818,MGI:MGI:5453235,Gm23458,115490288
ENSMUSG00000086700,1.822363447843233,0.051424455550867484,0.5808868772217513,0.7202222465542203,0.8380102458996314,NA,NA,NA
ENSMUSG00000038342,5273.324482633563,-0.20843519752473244,0.05200389977473017,5.769180186924013e-5,2.62193785014037e-4,MGI:MGI:2141183,Mlxip,208104
ENSMUSG00000082532,2.246666103135423,-0.11852562593883334,0.5912566278264317,0.42787277602973706,0.6036250852416016,MGI:MGI:3783190,Rpl31-ps6,673222
ENSMUSG00000029437,0.1775857186155044,0.02060431111839007,0.6012958574414525,0.8018657677414673,NA,MGI:MGI:1923649,Il31,76399
ENSMUSG00000086753,1.1480368509189554,0.04252351103128027,0.5952734084779048,0.6714666961396318,NA,NA,NA,NA
ENSMUSG00000029433,1021.6444109504297,-0.2070299879924972,0.08660857334140906,0.015703199672531892,0.04151536340505785,MGI:MGI:1913843,Diablo,66593
ENSMUSG00000029431,2.802320372714985,0.03540538950867586,0.5714384362189864,0.8264252904167368,0.9031774723598549,MGI:MGI:2680208,B3gnt4,231727
ENSMUSG00000098951,1.328707895330244,-0.022106010675882436,0.5907335755396064,0.8046166572647957,0.8905080664615496,MGI:MGI:5530729,Mir7647,102465756
ENSMUSG00000029434,1589.55374331045,0.1766126273109002,0.07451107861300263,0.01690641437729889,0.04419549107860986,MGI:MGI:1924823,Vps33a,77573
ENSMUSG00000049550,3828.3312770265056,-0.2787408647539378,0.05650314574931552,7.240251967130988e-7,4.303131985426258e-6,MGI:MGI:1928401,Clip1,56430
ENSMUSG00000029427,2750.876330141702,-0.03660312512756167,0.06237315548930401,0.5541651524242186,0.7158841436409918,MGI:MGI:1917900,Zcchc8,70650
ENSMUSG00000029422,7228.176892917322,-0.13238890192038671,0.055232903145121845,0.014789383937123866,0.039369517690881234,MGI:MGI:1913489,Rsrc2,208606
ENSMUSG00000029414,1072.7270167988372,0.3663357010981264,0.08458348887543632,1.1890415777315891e-5,6.009269706842458e-5,MGI:MGI:2673709,Kntc1,208628
ENSMUSG00000045502,24.34319270246039,1.2532976918886987,0.5427962331199166,0.0028949438944400894,0.009335114642511522,MGI:MGI:1933383,Hcar2,80885
ENSMUSG00000023106,1356.4742504170476,0.10714101690182798,0.07997486430178667,0.17607486144604123,0.31247559745514164,MGI:MGI:1915434,Denr,68184
ENSMUSG00000061882,70.57936418631822,-0.8519918116149521,0.3013602419637502,0.0014563554083119024,0.005022315703941202,MGI:MGI:2684996,Ccdc62,208908
ENSMUSG00000000915,6475.887496302645,0.11114753773971334,0.054933539236151824,0.04283207823933952,0.09838946814009464,MGI:MGI:1352504,Hip1r,29816
ENSMUSG00000098454,0.18542163054709163,0.020647077526372078,0.6012959202506367,0.8018578952338239,NA,MGI:MGI:5530691,Mir7032,102465625
ENSMUSG00000066278,18142.1387902951,-0.14901744612680023,0.05405155824900536,0.005569317139683004,0.016738526349375078,MGI:MGI:1916724,Vps37b,330192
ENSMUSG00000029408,808.2710121796873,0.1127746117859246,0.09739990648011987,0.24025559142098019,0.39686170923003766,MGI:MGI:1861729,Abcb9,56325
ENSMUSG00000085433,41.786241586301514,0.4983949724071337,0.3628125944176483,0.09296185268148496,0.18743553806323746,MGI:MGI:3802119,Gm16001,108169069
ENSMUSG00000023707,472.6972684096543,0.24400621951141163,0.12331644211369358,0.04299950778126381,0.098684566142916,MGI:MGI:1913877,Ogfod2,66627
ENSMUSG00000029404,979.6291313965122,0.32817598638724216,0.09047852127127974,2.3921328693354504e-4,9.687099963556007e-4,MGI:MGI:1929500,Arl6ip4,65105
ENSMUSG00000029406,2799.890880870789,-1.7568783598878355,0.07327305964371703,3.666753532958156e-128,4.732086062729471e-126,MGI:MGI:1336192,Pitpnm2,19679
ENSMUSG00000089842,0.15795740454300544,-0.024255882438582198,0.6014444058223389,0.8537610393113703,NA,MGI:MGI:3840147,Pitpnm2os2,100047482
ENSMUSG00000038126,1457.9025199437376,0.0839668337676238,0.07551020278846847,0.2633371602191738,0.4251233394213925,MGI:MGI:2443138,Mphosph9,269702
ENSMUSG00000047635,200.4279576425678,0.2417997959774511,0.1745989205426805,0.14699828633526701,0.2709640900850436,MGI:MGI:1919900,Mtrfr,72650
ENSMUSG00000029394,312.16298020086936,0.010523913810480493,0.1450318924993655,0.9416140306731546,0.9697365218951286,MGI:MGI:1202069,Cdk2ap1,13445
ENSMUSG00000038095,4970.534179689359,-0.040725161505501734,0.05314835915482889,0.44576031093824425,0.6206235948402524,MGI:MGI:2384298,Sbno1,243272
ENSMUSG00000099144,0.15280093944709142,-0.024164230760484184,0.6014385747063579,0.8523752006024394,NA,NA,NA,NA
ENSMUSG00000049327,2511.9716668558767,0.17970038803903268,0.06573560709478511,0.005940613030508369,0.017715917311670795,MGI:MGI:1915206,Kmt5a,67956
